,Rooms,Status,Area,Price
510,2,Ready to move,630,3200000
511,2,Ready to move,630,3800000
512,3,Ready to move,1700,18500000
513,3,Ready to move,2000,22500000
514,2,Ready to move,650,6500000
515,3,Ready to move,850,8500000
516,4,Ready to move,1200,20500000
517,3,Ready to move,1750,17000000
518,3,Ready to move,1700,16000000
519,3,Ready to move,765,4500000
520,4,Ready to move,2500,22500000
521,4,Ready to move,2500,33500000
522,3,Ready to move,1700,17500000
523,3,Ready to move,2200,19000000
524,4,Ready to move,1800,18500000
525,4,Ready to move,2400,27500000
526,4,Ready to move,2400,23500000
527,3,Ready to move,1700,16800000
528,3,Ready to move,1750,18500000
529,3,Ready to move,820,5100000
530,2,Ready to move,750,4700000
531,3,Ready to move,900,4000000
532,4,Ready to move,1400,17000000
533,3,Ready to move,1200,13799999
534,3,Ready to move,1000,11500000
535,4,Ready to move,1400,21000000
536,4,Ready to move,1400,16500000
537,3,Ready to move,850,8000000
538,3,Ready to move,1260,17500000
539,4,Ready to move,2150,30000000
540,3,Ready to move,1100,17000000
541,3,Ready to move,750,8200000
542,3,Ready to move,850,12500000
543,3,Ready to move,850,11500000
544,3,Ready to move,1200,10800000
545,3,Ready to move,800,8000000
546,3,Ready to move,800,7700000
547,3,Ready to move,900,9300000
548,3,Ready to move,850,10300000
549,3,Ready to move,1200,17000000
550,2,Ready to move,800,6600000
551,2,Ready to move,700,5500000
552,3,Ready to move,900,9100000
553,4,Ready to move,1600,22000000
554,3,Ready to move,900,9000000
555,2,Ready to move,800,6000000
556,3,Ready to move,900,8200000
557,4,Ready to move,1500,12500000
558,3,Ready to move,950,7200000
559,3,Ready to move,900,6400000
560,1,Ready to move,400,2800000
561,4,Ready to move,1260,8500000
562,4,Ready to move,1450,18500000
563,3,Ready to move,850,6900000
564,3,Ready to move,820,5300000
565,3,Ready to move,820,5200000
566,2,Ready to move,1250,11000000
567,2,Ready to move,495,2400000
568,2,Ready to move,700,6400000
569,3,Ready to move,900,7000000
570,4,Ready to move,3600,36000000
571,3,Ready to move,800,6000000
572,4,Ready to move,3600,42100000
573,4,Ready to move,1450,18000000
574,3,Ready to move,800,5800000
575,3,Ready to move,1100,11000000
576,3,Ready to move,800,8500000
577,3,Ready to move,900,10100000
578,3,Ready to move,900,9200000
579,4,Ready to move,3600,36500000
580,4,Ready to move,1575,20099999
581,3,Ready to move,780,5500000
582,3,Ready to move,900,7500000
583,4,Ready to move,3600,36500000
584,4,Ready to move,2400,26300000
