,Rooms,Status,Area,Price
191,1,0,400,3100000
192,1,0,400,3100000
193,1,0,400,3100000
194,1,0,400,3100000
195,1,0,400,2850000
196,1,0,400,2850000
197,1,0,400,2850000
198,1,0,400,2850000
199,1,0,400,2850000
200,1,0,400,2850000
201,1,0,400,2850000
202,1,0,400,3100000
203,1,0,400,3100000
204,1,0,400,2850000
205,1,0,400,2850000
206,1,0,400,2850000
207,1,0,400,2850000
208,1,0,400,2850000
209,3,1,1000,6300000
210,3,0,700,3799000
211,3,0,1782,35000000
212,2,0,1000,9800000
213,2,0,650,2600000
214,2,0,650,2600000
215,2,0,450,2100000
216,3,0,900,6500000
217,2,0,545,2300000
218,3,0,1100,6500000
219,3,0,1100,6500000
220,3,0,1100,6500000
226,2,0,600,3100000
227,3,0,1650,26000000
228,3,0,1250,12800000
229,3,0,820,9000000
230,3,0,820,8700000
231,4,0,3800,42000000
232,1,0,450,1950000
233,3,0,1000,7000000
234,4,0,3600,36000000
235,3,0,1000,8200000
236,4,0,3800,36000000
237,4,0,1800,23500000
238,4,0,1500,16500000
239,3,0,1500,8500000
240,3,0,1000,7000000
241,4,0,3600,36000000
242,1,0,450,1950000
243,3,0,1000,8200000
244,3,0,850,4761000
245,2,0,680,2800000
246,2,0,625,2750000
247,2,0,600,2675000
248,4,0,3800,36000000
249,4,0,1800,23500000
250,4,0,1500,16500000
251,3,0,1500,8500000
252,3,0,1300,8600000
253,3,0,1300,9700000
254,3,0,1400,11000000
255,3,0,1300,9500000
256,3,0,1500,16200000
257,3,0,900,10200000
258,3,0,900,10000000
259,3,0,900,8600000
260,3,0,900,7600000
261,3,0,900,9850000
262,4,0,1400,16600000
263,4,0,3800,44000000
264,3,0,950,5125000
265,3,0,1050,5951000
266,3,0,1375,7211000
267,3,0,850,3871000
268,2,0,650,2775000
269,3,0,875,4361000
270,3,0,1375,7211000
271,1,0,580,1800000
272,6,0,2700,190000000
273,1,0,550,1721000
274,3,0,850,4561000
275,3,0,800,4110000
276,2,0,540,2600000
277,1,0,400,1600000
278,2,0,600,2700000
279,2,0,650,2780000
280,3,0,900,5120000
281,3,0,810,4421000
282,3,0,850,3851000
283,4,0,1400,16600000
284,4,0,3800,44000000
285,3,0,2150,38500000
286,3,0,1125,20000000
287,3,0,2050,36500000
288,3,0,1450,26500000
289,3,0,2200,40000000
290,3,0,1600,30000000
291,4,0,2250,41500000
292,3,0,1450,24000000
293,3,0,1800,36000000
294,3,0,1450,30000000
295,3,0,2100,30000000
296,3,0,1150,21000000
297,3,0,2000,47500000
298,3,0,1825,43500000
299,3,0,1850,45000000
300,3,0,1450,30000000
301,3,0,2100,30000000
302,3,0,1150,21000000
303,3,0,2000,47500000
304,3,0,1825,43500000
305,3,0,1850,45000000
306,3,0,1800,40000000
307,3,0,2025,40000000
308,3,0,1900,42500000
309,3,0,2050,45000000
310,3,0,2000,32500000
311,4,0,2250,52500000
312,3,0,1450,26000000
313,3,0,1800,27500000
314,3,0,2250,47500000
315,3,0,1450,23500000
316,3,0,1802,28000000
317,3,1,1850,36500000
318,3,1,1450,23500000
319,3,1,1450,25000000
320,3,0,1500,28500000
321,2,0,1000,17500000
322,3,0,1950,37500000
323,3,0,1900,43500000
324,3,1,1450,32500000
325,2,0,1100,7500000
326,2,0,1000,6500000
327,1,0,450,2800000
328,2,0,540,5500000
329,2,1,675,6000000
330,2,0,750,5800000
331,3,0,1000,18600000
332,3,0,1100,15000000
333,3,0,1050,12200000
334,3,0,850,7800000
335,4,0,3600,45500000
336,3,0,1000,9200000
337,8,0,3600,36000000
338,4,0,2250,32500000
339,4,0,2250,25099999
340,2,0,600,2531000
341,2,0,700,3000000
342,3,0,750,3551000
343,4,0,1400,8700000
344,3,0,1350,16500000
345,2,0,1100,15000000
346,3,0,1900,17500000
347,5,0,2200,26500000
348,5,0,1600,26000000
349,3,0,1600,19200000
350,5,0,1600,26300000
351,3,0,1600,21900000
352,3,0,1500,25400000
353,3,0,1500,18500000
354,4,0,1800,28100000
355,4,0,1650,22400000
356,3,0,1600,17600000
357,4,0,2000,30500000
358,3,0,1600,21100000
359,3,0,2200,65000000
360,3,0,1700,17200000
361,3,0,1200,17700000
362,3,0,1550,22300000
363,3,0,1500,27500000
364,3,0,1800,29000000
365,3,0,1200,17900000
366,3,0,1600,25400000
367,3,0,1900,39500000
368,3,0,1250,17800000
369,3,0,1250,17900000
370,2,0,1250,17000000
371,3,0,1200,17600000
372,3,0,1200,17900000
373,4,0,2700,64500000
374,3,0,2400,47500000
375,3,0,1600,26500000
376,3,0,1900,37500000
377,2,0,2700,32000000
378,3,0,1700,22100000
379,3,0,1500,21500000
380,3,0,1800,18600000
381,3,0,1600,20900000
382,3,0,2000,17700000
383,3,0,1900,25000000
384,3,0,1600,26000000
385,3,0,2700,65000000
386,3,0,2400,42500000
387,2,0,540,2750000
388,2,0,635,2651000
389,2,0,575,2471000
390,3,0,1800,32500000
391,3,0,1800,39000000
392,3,0,980,5411000
393,3,0,900,8500000
394,3,0,720,7450000
395,3,0,1500,14900000
396,3,0,1300,11000000
397,4,0,1700,24500000
398,5,0,2000,30500000
399,3,0,2400,42500000
400,3,0,1600,22300000
401,3,0,1500,26500000
402,3,0,800,5000000
403,3,0,1125,10000000
404,3,0,1800,27500000
405,3,0,1400,15500000
406,3,0,1000,12000000
407,3,0,2200,24000000
408,2,0,650,3290000
409,2,0,630,3550000
410,2,0,585,3550000
411,3,0,855,3900000
412,2,0,585,2700000
413,1,0,450,2000000
414,4,0,1900,22500000
415,3,0,1600,21900000
416,2,0,1200,16000000
417,4,0,1950,22500000
418,2,0,1500,17500000
419,3,0,1460,19500000
420,4,0,1600,22400000
421,3,0,2200,20299999
422,4,0,2400,19900000
423,3,0,1750,21000000
424,1,0,400,2600000
425,4,0,2300,24200000
426,3,0,1250,13500000
427,3,0,1100,15000000
428,3,0,950,11500000
429,2,0,750,8500000
430,4,0,1500,23000000
431,3,0,1250,18000000
432,3,0,1700,15800000
433,3,0,1215,8700000
434,2,0,800,10500000
435,3,0,1500,22500000
436,3,0,1250,22500000
437,2,0,750,9000000
438,2,0,800,6500000
439,3,0,950,11500000
440,3,0,1250,18500000
441,3,0,2700,120000000
442,4,0,2400,21000000
443,3,0,900,9800000
444,3,0,800,7100000
445,2,0,580,3900000
446,3,0,900,9500000
447,4,0,3600,43500000
448,3,0,1200,10500000
449,3,0,900,8000000
450,4,0,2300,31500000
451,4,0,2300,21500000
452,4,0,1500,12000000
453,4,0,3600,42500000
454,3,0,1200,11500000
455,2,0,720,4500000
456,3,0,1125,15500000
457,3,0,1800,21000000
458,5,0,3500,35000000
459,4,0,2400,25500000
460,4,0,2400,24700000
461,2,0,600,2700000
462,4,0,2300,15000000
463,1,0,385,4011000
464,1,0,385,3611000
465,1,0,385,3211000
466,1,0,385,3011000
467,4,0,2200,21500000
468,3,0,1750,17400000
469,4,0,2400,24500000
470,3,0,1750,17400000
471,4,0,2400,29000000
472,3,0,1700,15500000
473,4,0,2400,27900000
474,3,0,1750,19500000
475,3,0,1750,18000000
476,3,0,1750,18400000
477,3,0,1700,17100000
478,3,0,1800,20700000
479,3,0,1750,19000000
480,3,0,1800,21000000
481,3,0,1700,16000000
482,3,0,1700,17000000
483,3,0,1700,17500000
484,4,0,2200,17500000
485,4,0,4500,180000000
486,3,0,1500,16000000
487,1,0,385,2511000
488,4,0,2300,22000000
489,4,0,2300,22000000
490,3,0,800,6700000
491,4,0,3600,34000000
492,4,0,3600,35500000
493,3,0,1700,14500000
494,3,0,1750,17300000
495,3,0,1500,18000000
496,3,0,800,8200000
497,4,0,1450,18000000
498,2,0,600,2600000
499,4,0,2200,22000000
500,3,0,900,4500000
501,2,0,630,3100000
502,2,0,700,3600000
503,2,0,660,3500000
504,2,0,630,3300000
505,3,0,1125,5850000
506,3,0,900,4500000
507,2,0,720,3500000
508,3,0,810,4900000
509,3,0,900,4500000
510,2,0,630,3200000
511,2,0,630,3800000
512,3,0,1700,18500000
513,3,0,2000,22500000
514,2,0,650,6500000
515,3,0,850,8500000
516,4,0,1200,20500000
517,3,0,1750,17000000
518,3,0,1700,16000000
519,3,0,765,4500000
520,4,0,2500,22500000
521,4,0,2500,33500000
522,3,0,1700,17500000
523,3,0,2200,19000000
524,4,0,1800,18500000
525,4,0,2400,27500000
526,4,0,2400,23500000
527,3,0,1700,16800000
528,3,0,1750,18500000
529,3,0,820,5100000
530,2,0,750,4700000
531,3,0,900,4000000
532,4,0,1400,17000000
533,3,0,1200,13799999
534,3,0,1000,11500000
535,4,0,1400,21000000
536,4,0,1400,16500000
537,3,0,850,8000000
538,3,0,1260,17500000
539,4,0,2150,30000000
540,3,0,1100,17000000
541,3,0,750,8200000
542,3,0,850,12500000
543,3,0,850,11500000
544,3,0,1200,10800000
545,3,0,800,8000000
546,3,0,800,7700000
547,3,0,900,9300000
548,3,0,850,10300000
549,3,0,1200,17000000
550,2,0,800,6600000
551,2,0,700,5500000
552,3,0,900,9100000
553,4,0,1600,22000000
554,3,0,900,9000000
555,2,0,800,6000000
556,3,0,900,8200000
557,4,0,1500,12500000
558,3,0,950,7200000
559,3,0,900,6400000
560,1,0,400,2800000
561,4,0,1260,8500000
562,4,0,1450,18500000
563,3,0,850,6900000
564,3,0,820,5300000
565,3,0,820,5200000
566,2,0,1250,11000000
567,2,0,495,2400000
568,2,0,700,6400000
569,3,0,900,7000000
570,4,0,3600,36000000
571,3,0,800,6000000
572,4,0,3600,42100000
573,4,0,1450,18000000
574,3,0,800,5800000
575,3,0,1100,11000000
576,3,0,800,8500000
577,3,0,900,10100000
578,3,0,900,9200000
579,4,0,3600,36500000
580,4,0,1575,20099999
581,3,0,780,5500000
582,3,0,900,7500000
583,4,0,3600,36500000
584,4,0,2400,26300000
585,3,0,1700,16000000
586,3,0,1800,23800000
587,3,0,1000,5600000
588,2,0,650,3500000
589,3,0,800,3950000
590,2,0,620,3200000
591,3,0,1250,6900000
592,3,0,1050,5500000
593,2,0,610,3190000
594,2,0,640,3220000
595,3,0,875,4700000
596,2,0,630,3210000
597,2,0,650,3225000
598,3,0,850,4300000
599,3,0,800,4100000
600,2,0,600,2700000
601,1,0,400,1600000
602,2,0,600,2599000
603,4,0,2400,21000000
604,4,0,2400,16399999
605,4,0,2400,24500000
606,3,0,1700,18000000
607,3,0,1750,17600000
608,3,0,1750,19500000
609,4,0,2000,24000000
610,3,0,1700,17800000
611,3,0,1600,15600000
612,3,0,1600,16200000
613,3,0,1700,15300000
614,3,0,1800,17500000
615,3,0,1600,15800000
616,3,0,1600,15000000
617,3,0,2000,17500000
618,3,0,1600,21800000
619,3,0,1750,19200000
620,3,0,1600,15800000
621,2,0,585,3000000
622,3,0,900,4500000
623,4,0,1200,7500000
624,3,0,810,4000000
625,2,0,700,3000000
626,2,0,650,2800000
627,3,0,750,3500000
628,2,0,600,2400000
629,4,1,1100,10000000
630,2,0,650,5000000
631,3,0,750,9500000
632,3,0,1000,14000000
633,3,0,850,12500000
634,2,0,650,5400000
635,1,0,400,3000000
636,3,0,885,5000000
637,3,0,2400,22000000
638,4,0,2000,20000000
639,3,0,2400,23500000
640,3,0,1600,22500000
641,4,0,1600,8000000
642,4,0,1600,8000000
643,4,0,1600,8000000
644,4,0,1600,8000000
645,4,0,1500,7000000
646,4,0,1500,7000000
647,3,0,1000,5000000
648,3,0,1000,5000000
649,3,0,900,4500000
650,3,0,900,4500000
651,2,0,500,2000000
652,2,0,500,2000000
653,2,0,750,3500000
654,2,0,750,3500000
655,2,0,700,3000000
656,2,0,700,3000000
657,4,0,2000,10000000
658,4,0,2000,10000000
659,2,0,600,2500000
660,2,0,600,2500000
661,4,0,1800,9000000
662,4,0,1800,9000000
663,3,0,950,9500000
664,4,0,1650,15000000
665,4,0,2250,20500000
666,4,0,1450,16500000
667,2,0,650,5800000
668,3,0,1450,17600000
669,4,0,1650,22500000
670,3,0,1100,12500000
671,3,0,800,7400000
672,2,0,550,4800000
673,2,0,700,6700000
674,3,0,1650,20000000
675,5,0,1890,32000000
676,3,0,1700,15800000
677,3,0,1700,16399999
678,3,0,1750,18500000
679,4,0,2400,26400000
680,3,0,1800,20900000
681,3,0,1700,17900000
682,3,0,1700,15200000
683,3,0,810,5500000
684,3,0,810,4000000
685,3,0,945,6300000
686,3,0,855,5650000
687,2,1,450,3400000
688,4,0,2800,22500000
689,4,0,2600,25500000
690,4,0,2600,23500000
691,4,0,2620,25500000
692,3,0,1800,20000000
693,3,0,1750,17200000
694,3,0,1750,18000000
695,3,0,1700,16000000
696,3,0,650,3000000
697,3,0,820,5000000
698,3,0,700,3700000
699,3,0,1100,5500000
700,3,0,1100,6500000
701,4,0,1200,7800000
702,3,0,810,5000000
703,3,0,1100,6500000
704,2,0,600,4500000
705,3,0,1100,6000000
706,2,0,1000,3800000
707,2,0,450,2300000
708,3,0,810,5000000
709,3,0,700,3700000
710,3,0,810,5000000
711,3,0,1000,7000000
712,3,0,1000,6500000
713,2,0,500,3000000
714,2,0,510,3000000
715,2,0,450,2300000
716,2,0,510,2950000
717,3,0,810,5000000
718,3,0,1100,6500000
719,3,0,1100,7000000
720,3,0,700,3000000
721,3,0,810,4700000
722,2,0,500,2450000
723,2,0,500,2400000
724,4,0,2350,21000000
725,3,0,1950,15700000
726,4,0,2680,20500000
727,4,0,2950,25000000
728,3,0,2350,21500000
729,4,0,2550,23000000
730,4,0,2500,23500000
731,3,0,2350,23500000
732,3,0,2105,19200000
733,4,0,2650,27000000
734,4,0,2450,20500000
735,4,0,2500,21000000
736,2,0,1280,12200000
737,4,0,2450,22000000
738,4,0,2450,21500000
739,4,0,2800,24000000
740,4,0,2200,17000000
741,4,0,2450,21000000
742,4,0,2450,19800000
743,4,0,2170,18000000
744,4,0,2500,22200000
745,3,0,1950,16500000
746,3,0,1820,16200000
747,4,0,2800,24800000
748,3,0,2150,20200000
749,3,0,1950,16299999
750,4,0,3650,36900000
751,3,0,1980,19000000
752,4,0,2650,25200000
753,2,0,1450,14200000
754,2,0,585,2700000
755,3,0,915,7800000
756,4,1,4140,74000000
757,4,0,6300,135000000
758,4,0,6300,130000000
759,4,0,2600,24500000
760,3,0,1750,21800000
761,3,0,1750,19000000
762,3,0,1750,19200000
763,4,0,2400,24200000
764,3,0,1700,16000000
765,3,0,1700,17500000
766,3,0,1700,15000000
767,3,0,1700,15800000
768,3,0,1750,16000000
769,3,0,1900,20000000
770,3,0,1670,16000000
771,3,0,1900,19000000
772,4,0,2000,23000000
773,3,0,1750,16000000
774,3,0,1750,19400000
775,3,0,1800,17200000
776,3,0,1900,18000000
777,3,0,1710,16000000
778,3,0,1600,17800000
779,3,0,1800,16000000
780,3,0,1700,17500000
781,4,0,1800,21000000
782,3,0,1250,16500000
783,3,0,1800,15800000
784,3,0,1925,21100000
785,2,0,1200,12800000
786,2,0,1350,13100000
787,3,0,900,5000000
788,2,0,450,3500000
789,3,0,910,6000000
790,3,0,1125,22500000
791,4,0,4500,80000000
792,5,0,2000,27500000
793,3,0,1700,16500000
794,2,0,450,2800000
795,3,0,1860,15000000
796,4,0,2250,30000000
797,4,0,2250,31000000
798,4,0,5400,114500000
799,4,0,4500,156500000
800,4,0,7000,135000000
801,4,0,3600,91500000
802,4,0,3600,91000000
803,3,0,1818,33000000
804,4,0,3600,90000000
805,3,0,1160,19000000
806,3,0,1260,18500000
807,3,0,1260,19500000
808,3,0,1260,19000000
809,3,0,1143,18000000
810,3,0,1143,17500000
811,3,0,1143,15500000
812,3,0,1125,19500000
813,3,0,1260,19000000
814,3,0,1700,16500000
815,4,0,2400,28000000
816,3,0,1900,22900000
817,4,0,1800,17500000
818,3,0,1700,17100000
819,5,0,7200,180000000
820,4,0,5400,135100000
821,4,0,5000,172600000
822,4,0,3500,130000000
823,4,0,3240,52000000
824,3,0,1125,21000000
825,4,0,2250,30500000
826,3,0,2450,24000000
827,3,0,2050,18100000
828,4,0,2650,26000000
829,4,0,2650,21000000
830,4,0,2750,22500000
831,4,0,3350,34000000
832,3,0,2050,17800000
833,4,0,2450,21000000
834,4,0,2300,18500000
835,4,0,2800,23000000
836,4,0,2650,23000000
837,3,0,2000,18000000
838,3,0,1960,17900000
839,3,0,1950,15500000
840,3,0,2050,18300000
841,4,0,2680,25000000
842,4,0,2640,25500000
843,3,0,1880,16900000
844,3,0,2800,34000000
845,3,0,2080,20900000
846,3,0,2050,18100000
847,4,0,2650,26000000
848,4,0,2650,21000000
849,4,0,2750,22500000
850,3,0,1902,17000000
851,3,0,1950,21900000
852,4,0,2620,23200000
853,2,0,1700,12600000
854,4,0,2350,19500000
855,3,0,1850,16900000
856,4,0,2800,25000000
857,3,0,1950,15500000
858,4,0,2850,26500000
859,3,0,2850,24000000
860,2,0,1700,12600000
861,4,0,2350,19500000
862,3,0,1850,16900000
863,3,0,1700,17800000
864,3,0,1800,23500000
865,3,0,1700,15000000
866,3,0,1700,19000000
867,3,0,1900,18200000
868,2,0,1600,16200000
869,3,0,1900,22500000
870,3,0,1900,15000000
871,4,0,2000,21000000
872,3,0,2000,19000000
873,3,0,2000,24900000
874,4,0,2550,24000000
875,3,0,810,2800000
876,2,0,500,2100000
877,2,0,540,2200000
878,3,0,850,4600000
879,3,0,810,4200000
880,3,0,900,4500000
881,3,0,850,4500000
882,2,0,540,2100000
883,2,0,630,2200000
884,2,0,720,3200000
885,3,0,2250,47500000
886,3,0,1200,15900000
887,3,0,1800,16500000
888,3,0,1143,17000000
889,3,0,1143,16500000
890,4,0,3600,92000000
891,4,0,3600,90000000
892,3,0,1800,37500000
893,3,0,1800,35000000
894,4,0,2250,36900000
895,2,0,720,5000000
896,3,0,2350,23900000
897,4,0,2525,24500000
898,4,0,2550,21000000
899,3,0,1950,18200000
900,3,0,2350,23900000
901,4,0,2525,24500000
902,4,0,2550,21000000
903,3,0,1950,18200000
904,4,0,2850,18600000
905,3,0,2050,17900000
906,4,0,2900,25900000
907,3,0,1902,16500000
908,4,0,2750,24700000
909,3,0,1890,14200000
910,2,0,500,2500000
911,3,0,900,4500000
912,3,0,800,4400000
913,2,0,450,1850000
914,4,0,1350,7800000
915,2,0,700,2800000
916,2,0,630,3200000
917,3,0,1045,5200000
918,2,0,700,2400000
919,3,0,850,4600000
920,3,0,810,3600000
921,3,0,900,4500000
922,3,0,858,4800000
923,4,0,1200,4500000
924,2,0,450,1600000
925,3,0,810,3700000
926,3,0,900,4000000
927,2,0,540,2100000
928,2,0,540,2000000
929,2,0,450,1800000
930,3,0,900,4500000
931,3,0,675,3200000
932,3,0,1750,19000000
933,2,0,600,4200000
934,2,0,700,3200000
935,3,0,1350,6500000
936,3,0,1000,4800000
937,3,0,1100,4500000
938,3,0,750,3600000
939,4,0,1500,7000000
940,2,0,650,2700000
941,2,0,850,3800000
942,3,0,900,4200000
943,3,0,750,3500000
944,3,0,1000,5000000
945,3,0,1100,6000000
946,2,0,500,1800000
947,3,0,1200,6000000
948,4,0,1750,8500000
949,2,0,800,3500000
950,3,0,1250,6000000
951,3,0,1125,7000000
952,3,0,945,4800000
953,2,0,850,3800000
954,2,0,650,3500000
955,4,0,1800,7500000
956,2,0,640,2400000
957,3,0,1000,4500000
958,4,0,1500,7500000
959,2,0,550,2400000
960,3,0,720,3500000
961,2,0,600,2300000
962,3,0,1600,8000000
963,3,0,900,4700000
964,2,0,750,3500000
965,3,0,850,4400000
966,3,0,750,3500000
967,4,0,1400,7500000
968,3,0,900,4500000
969,4,0,1400,8500000
970,3,0,1200,6500000
971,3,0,1350,11000000
972,3,0,1800,20700000
973,3,0,1750,18400000
974,4,0,1710,34500000
975,4,0,2100,26500000
976,3,0,2100,24900000
977,3,0,2200,32100000
978,3,0,2150,35000000
979,4,0,2400,29000000
980,3,0,1750,19000000
981,3,0,1750,17400000
982,3,0,1700,16399999
983,3,0,1700,15800000
984,3,0,1700,15200000
985,3,0,1800,20900000
986,3,0,1700,17500000
987,3,0,1700,17900000
988,3,0,1700,17000000
989,3,0,1800,21000000
990,3,0,1700,16000000
991,5,0,9000,202500000
992,4,0,2250,30500000
993,4,0,2250,30000000
994,4,0,2250,36000000
995,4,0,7000,108000000
996,4,0,2800,89000000
997,4,0,5400,135100000
998,4,0,2700,70000000
999,4,0,2250,31500000
1000,4,0,2250,29000000
1001,4,0,2250,31000000
1002,3,0,1125,19000000
1003,4,0,4500,154500000
1004,5,0,7200,182500000
1005,4,0,5400,130000000
1006,4,0,2600,92500000
1007,6,0,10000,610000000
1008,4,0,3600,85000000
1009,4,0,3600,86000000
1010,4,0,3600,94500000
1011,4,0,4500,153300000
1012,4,0,4000,142200000
1013,4,0,4500,120000000
1014,4,0,6000,130000000
1015,4,0,7000,130000000
1016,4,0,4500,127500000
1017,4,0,3600,95000000
1018,4,1,4140,75000000
1019,4,0,2450,35000000
1020,3,0,1600,15500000
1021,3,0,1125,6559999
1022,3,0,2000,21000000
1023,3,0,1700,30000000
1024,3,0,1100,15000000
1025,2,0,1500,25000000
1026,3,0,1500,37500000
1027,3,0,1750,17400000
1028,4,0,2400,25000000
1029,4,0,2400,22400000
1030,3,0,1700,17000000
1031,4,0,2400,24500000
1032,3,0,1750,17400000
1033,4,0,2400,27900000
1034,3,0,1750,19500000
1035,3,0,1700,16000000
1036,4,0,2400,26300000
1037,3,0,1750,19000000
1038,3,0,1750,18000000
1039,3,0,1700,16500000
1040,3,0,2200,27500000
1041,3,0,1700,16000000
1042,2,0,1200,14900000
1043,3,0,1700,16000000
1044,3,0,1750,19000000
1045,4,0,2400,25000000
1046,3,0,1600,22500000
1047,3,0,1750,18500000
1048,2,0,1200,13500000
1049,3,0,1750,18000000
1050,4,0,2400,23800000
1051,3,0,1800,22000000
1052,4,0,2400,23000000
1053,2,0,1200,13500000
1054,3,0,1750,18800000
1055,3,0,1700,15800000
1056,4,0,1800,22000000
1057,3,0,1800,23000000
1058,3,0,1800,24500000
1059,3,0,1750,19800000
1060,3,0,1750,18100000
1061,3,0,1750,21000000
1062,3,0,1750,21800000
1063,2,0,490,3500000
1064,4,1,1890,24800000
1065,1,0,550,5100000
1066,3,0,1550,14100000
1067,4,0,2010,20099999
1068,2,0,1200,14100000
1069,3,0,1800,24500000
1070,4,0,2200,22900000
1071,4,0,1080,9000000
1072,3,0,1750,18500000
1073,3,0,1700,16800000
1074,3,0,1700,16399999
1075,3,0,1750,17300000
1076,3,0,1750,17100000
1077,4,0,2400,26400000
1078,3,0,1750,18500000
1079,3,0,1125,20000000
1080,3,0,1125,19500000
1081,4,0,3240,50000000
1082,3,0,1260,18500000
1083,3,0,1143,16500000
1084,3,0,1700,16000000
1085,3,0,1700,18000000
1086,2,0,1200,12400000
1087,3,1,1950,50000000
1088,3,1,1950,50000000
1089,3,1,1950,50000000
1090,3,1,1950,50000000
1091,2,0,610,5800000
1092,3,0,1700,17800000
1093,2,0,400,4600000
1094,3,0,1600,14500000
1095,3,0,2000,31500000
1096,4,0,7000,180000000
1097,4,0,3500,105000000
1098,4,0,5400,135600000
